,admissions,answerurl,belong,central,city_id,city_name,code_enroll,county_id,county_name,department,doublehigh,dual_class,dual_class_name,f211,f985,is_logo,is_recruitment,is_top,level,level_name,name,nature,nature_name,province_id,province_name,rank,rank_type,school_id,school_type,special,type,type_name,view_month,view_month_number,view_total,view_total_number,view_week,view_week_number,view_year
42,2,https://answer.eol.cn/fillmess/index?id=636&source=zsgk_app,教育部,2,6101,西安市,1070100,610113,雁塔区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,西安电子科技大学,36000,公办,61,陕西,,,57,6000,[],5001,理工类,9.8w,98052,1169.1w,11690864,1.2w,12408,0
43,2,https://answer.eol.cn/fillmess/index?id=976&source=zsgk_app,教育部,2,4201,武汉市,1050400,420111,洪山区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,华中农业大学,36000,公办,42,湖北,,,417,6000,[],5002,农林类,2.3w,22769,590.9w,5909046,2501,2501,0
44,2,,江苏省,2,3205,苏州市,1028500,0,,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,苏州大学,36000,公办,32,江苏,,,118,6000,[],5000,综合类,5.5w,55161,1519.2w,15191885,6503,6503,0
45,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,2201,长春市,1020000,220102,南关区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,东北师范大学,36000,公办,22,吉林,,,142,6000,[],5000,综合类,7.4w,73698,803.5w,8035137,7953,7953,0
46,2,,教育部,2,1101,北京市,1003400,110108,海淀区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中央财经大学,36000,公办,11,北京,,,566,6000,[],5006,财经类,2.3w,23337,915.9w,9159331,3030,3030,0
47,2,https://answer.eol.cn/fillmess/index?id=708&source=zsgk_app,教育部,2,3101,上海市,1025100,310104,徐汇区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,华东理工大学,36000,公办,31,上海,,,133,6000,[],5001,理工类,9.9w,99378,1032w,10320251,1.5w,15447,0
48,2,,上海市,2,3101,上海市,1028000,310113,宝山区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,上海大学,36000,公办,31,上海,,,76,6000,[],5000,综合类,3.4w,33739,1170w,11700068,5919,5919,0
49,2,,教育部,2,1101,北京市,1005300,110114,昌平区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中国政法大学,36000,公办,11,北京,,,569,6000,[],5007,政法类,2.4w,23961,711.2w,7111868,3565,3565,0
50,2,https://answer.eol.cn/fillmess/index?id=684&source=zsgk_app,中央统战部,1,4401,广州市,1055900,440106,天河区,2,0,38000,双一流,1,2,1,1,2,2001,普通本科,暨南大学,36000,公办,44,广东,,,106,6000,[],5000,综合类,13.2w,131502,1422.8w,14227793,1.5w,14787,0
51,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,北京市,2,1101,北京市,1002500,110106,丰台区,2,0,38003,,2,2,1,1,2,2001,普通本科,首都医科大学,36000,公办,11,北京,,,584,6000,[],5003,医药类,4.2w,42360,573.3w,5732581,5220,5220,0
52,2,https://answer.eol.cn/fillmess/index?id=632&source=zsgk_app,教育部,2,1101,北京市,1003600,110105,朝阳区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,对外经济贸易大学,36000,公办,11,北京,,,53,6000,[],5006,财经类,5.3w,53223,965.8w,9657888,7143,7143,0
53,2,https://m-view.eol.cn/h5/zsgk/answer_noresult.html?t=1111,教育部,2,1101,北京市,1141400,110114,昌平区,1,0,38000,双一流,1,2,1,1,2,2001,普通本科,中国石油大学（北京）,36000,公办,11,北京,,,832,6000,[],5001,理工类,4698,4698,432.9w,4328863,4698,4698,0
