,0,1,2,3,4,5,6
200,上海市,市辖区,913101167333533647001X,上海耀岩化学品有限公司,专项化学用品制造,2022-09-29至2027-09-28,2022-09-29
201,上海市,市辖区,913101157595575414001Q,立邦新型材料（上海）有限公司,涂料制造,2022-09-29至2027-09-28,2022-09-29
202,上海市,市辖区,91310000607410268P001Q,千住金属（上海）有限公司,其他专用化学产品制造,2020-08-01至2023-07-31,2020-08-01
203,上海市,市辖区,91310000756966948U001V,上海彩星化工有限公司,染料制造,2020-08-30至2023-08-29,2020-08-29
204,上海市,市辖区,91310118134344351B001Y,上海云岭纳米新材料有限公司,专项化学用品制造,2022-09-28至2027-09-27,2022-09-28
205,上海市,市辖区,91310118748751381R001U,上海美好漆业有限公司,涂料制造,2022-09-28至2027-09-27,2022-09-28
206,上海市,市辖区,913100006793598016001U,上海墙特节能材料有限公司,涂料制造,2021-12-13至2026-12-12,2021-12-13
207,上海市,市辖区,91310118MA1JP87E37001U,进程新材料（上海）有限公司,涂料制造,2021-09-07至2026-09-06,2021-09-07
208,上海市,市辖区,91310118MA1JL82M51001Q,艾仕得粉末涂料（上海）有限公司,涂料制造,2020-08-19至2023-08-18,2020-08-19
209,上海市,市辖区,91310118698834540M001U,上海练科有机肥料厂,有机肥料及微生物肥料制造,2020-06-17至2023-06-16,2020-06-17
210,上海市,市辖区,91310000607426753N001V,汉高化学技术(上海)有限公司,其他专用化学产品制造,2022-09-27至2027-09-26,2022-09-27
211,上海市,市辖区,913101200678100408001P,上海华谊新材料有限公司,有机化学原料制造,2022-09-27至2027-09-26,2022-09-27
212,上海市,市辖区,913101181343005355001V,上海白鹤化工厂有限公司,香料、香精制造,2020-08-01至2023-07-31,2020-07-25
213,上海市,市辖区,913101187505767973001V,上海复旭分子筛有限公司,化学试剂和助剂制造,2020-08-01至2023-07-31,2020-07-25
214,上海市,市辖区,91310000756957304Q001V,华界化学（上海）有限公司,专项化学用品制造,2022-09-23至2027-09-22,2022-09-23
215,上海市,市辖区,91310000MA1JN1FN8R001U,易能瑞中新材料（上海）有限公司,涂料制造,2022-09-23至2027-09-22,2022-09-23
216,上海市,市辖区,91310118MA1JM39E68001Y,德鹿新材料技术（上海）有限公司,涂料制造,2021-10-01至2026-09-30,2021-10-01
217,上海市,市辖区,91310115555986125J002P,上海万力华生物科技有限公司-松江新建工厂,生物化学农药及微生物农药制造,2022-09-23至2027-09-22,2022-09-23
218,上海市,市辖区,913100006074164831001C,庄信万丰（上海）化工有限公司,化学试剂和助剂制造,2022-09-22至2027-09-21,2022-09-22
219,上海市,市辖区,91310115599750704Q001Q,上海顶航建筑材料有限公司,涂料制造,2022-09-20至2027-09-19,2022-09-20
220,上海市,市辖区,913101157595925826001U,伟思磊尤为涂层（上海）有限公司,涂料制造,2022-09-20至2027-09-19,2022-09-20
221,上海市,市辖区,91310118324626069F001P,上海安诺其科技有限公司,初级形态塑料及合成树脂制造,2021-12-22至2026-12-21,2021-11-22
222,上海市,市辖区,9131000058520960X6001P,上海亨斯迈聚氨酯特种材料有限公司,初级形态塑料及合成树脂制造,2022-07-21至2027-07-20,2022-07-21
223,上海市,市辖区,91310000MA1HQDP00B001P,罗姆化学（上海）有限公司,有机化学原料制造,2022-09-20至2027-09-19,2022-09-20
224,上海市,市辖区,91310000563123661N001Q,紫荆花涂料（上海）有限公司,涂料制造,2022-09-20至2027-09-19,2022-09-20
225,上海市,市辖区,913101165574932447001U,上海荟百精细化工有限公司,油墨及类似产品制造,2020-07-24至2023-07-23,2020-07-24
226,上海市,市辖区,91310116797023890G001P,上海强盛化工有限公司,其他合成材料制造,2021-12-21至2026-12-20,2021-12-03
227,上海市,市辖区,91310116552932228R001U,上海巴德士化工新材料有限公司,涂料制造,2020-07-24至2023-07-23,2020-07-24
228,上海市,市辖区,91310116662495241T002V,上海抚佳精细化工有限公司（三厂）,其他专用化学产品制造,2022-03-16至2027-03-15,2022-03-16
229,上海市,市辖区,91310000755721703E001Q,爱博斯迪科化学（上海）有限公司,其他专用化学产品制造,2022-02-08至2027-02-07,2022-02-08
230,上海市,市辖区,913100007109384740001P,上海赛科石油化工有限责任公司,有机化学原料制造,2022-08-01至2027-07-31,2022-08-01
231,上海市,市辖区,913101167800233842001P,上海绘兰材料科技有限公司,初级形态塑料及合成树脂制造,2022-09-16至2027-09-15,2022-09-16
232,上海市,市辖区,91310118834614914J001U,上海锐伟油墨涂料有限公司,油墨及类似产品制造,2022-09-16至2027-09-15,2022-09-16
233,上海市,市辖区,9131000060743477XJ001Q,四国化研（上海）有限公司,涂料制造,2022-09-14至2027-09-13,2022-09-14
234,上海市,市辖区,91310000729469313C001U,芬美意香料（中国）有限公司金都路,香料、香精制造,2020-08-21至2023-08-20,2020-08-21
235,上海市,市辖区,91310110630764689E001V,上海三爱思试剂有限公司,化学试剂和助剂制造,2020-08-28至2025-08-27,2020-08-28
236,上海市,市辖区,91310104133390022L001V,上海焦化化工发展商社,化学试剂和助剂制造,2020-08-26至2023-08-25,2020-08-26
237,上海市,市辖区,91310000558812016Y001V,阿克苏诺贝尔功能涂料（上海）有限公司,涂料制造,2022-09-14至2027-09-13,2022-09-14
238,上海市,市辖区,91310000744217739J001U,纪州喷码技术（上海）有限公司,油墨及类似产品制造,2022-09-14至2027-09-13,2022-09-14
239,上海市,市辖区,913100006074190944001V,巴克曼实验室化工（上海）有限公司,化学试剂和助剂制造,2022-09-14至2027-09-13,2022-09-14
240,上海市,市辖区,91310000MA1FL7DGXD001U,纳泡检测技术（上海）股份有限公司,有机肥料及微生物肥料制造,2022-01-20至2027-01-19,2022-01-20
241,上海市,市辖区,91310118740595097H001U,上海多纳尔化工有限公司,涂料制造,2022-01-27至2027-01-26,2022-01-27
